Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Depth_code,land_use_code,OC_Class,pH_Class,Fertility_Class,photo_path,photo_exists
0-20 cm,42882682,6.9,7.35,29.79,44.4,113.0,10.4,5.0,76.6,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT342,47.2507092,9.564397972,24-07-18,442,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\428\826\42882682E.jpg,True
0-20 cm,42942690,5.4,5.93,32.15,47.7,1.0,53.8,5.8,84.5,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT342,47.32300903,9.643104368,25-07-18,480,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\429\426\42942690E.jpg,True
0-20 cm,42982676,6.9,7.38,38.24,55.4,128.0,40.1,4.1,116.8,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT341,47.19714783,9.696710862,24-07-18,501,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\429\826\42982676E.jpg,True
0-20 cm,43002704,7.1,7.64,21.6,27.7,120.0,26.5,2.6,81.9,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT342,47.44925415,9.721739747,9/7/2018,10456,H11,U420,Wetlands,Inland marshes,Semi-natural and natural areas not in use,1,22,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\430\027\43002704E.jpg,True
0-10 cm,43022698,5.6,5.97,22.1,144.2,5.0,16.5,8.1,209.2,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT342,47.39531355,9.748502351,9/7/2018,10596,C10,U120,Woodland,Broadleaved woodland,Forestry,0,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\430\226\43022698E.jpg,True
0-20 cm,43122702,4.5,5.13,16.13,27.4,5.0,15.2,3.5,123.0,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT341,47.43154245,9.880786578,4/7/2018,667,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\431\227\43122702E.jpg,True
0-20 cm,43122714,6.4,6.64,36.8,35.8,3.0,12.8,4.3,122.2,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT342,47.53954963,9.880537765,1/6/2018,569,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\431\227\43122714E.jpg,True
0-20 cm,43162706,4.5,5.37,8.98,35.2,5.0,17.3,3.5,97.3,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT341,47.46759061,9.933724292,3/7/2018,825,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\431\627\43162706E.jpg,True
0-10 cm,43182690,7.0,7.23,54.0,59.9,51.0,26.5,5.9,90.7,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT341,47.32358721,9.960344663,9/7/2018,985,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),0,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\431\826\43182690E.jpg,True
0-20 cm,43202710,3.2,4.08,8.97,47.5,5.0,16.3,3.6,87.2,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT342,47.50361239,9.98673564,9/7/2018,1100,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\432\027\43202710E.jpg,True
